Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 6, 'neighbors_per_hop': [15, 15, 10, 10, 5, 5], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': 'auto'}
Using automatic per-task minority weighting: [1.841484546661377, 1.8189952373504639, 2.0762298107147217, 2.0589993000030518, 4.132832050323486, 1.92154061794281, 0.9104477763175964, 0.473646342754364, 0.28260529041290283, 2.129106283187866, 2.2125489711761475]
[PORT] fwd edge_attr: (10694, 2) (dtype=torch.int64) | rev edge_attr: (10716, 2)
[TRAIN MODE] mini-batch (seed-only) | is_hetero=True | ego_dim=32
[EGO-CHECK] base_dim=1  ego_dim=32  aug_dim=33  seeds(B)=32
[seed 1] Epoch 091 | train 0.0638 | val 0.0634 | val macro-minF1 94.18%
[seed 1] Epoch 092 | train 0.0616 | val 0.0582 | val macro-minF1 94.39%
[seed 1] Epoch 093 | train 0.0605 | val 0.0567 | val macro-minF1 94.60%
[seed 1] Epoch 094 | train 0.0586 | val 0.0675 | val macro-minF1 93.48%
[seed 1] Epoch 095 | train 0.0597 | val 0.0625 | val macro-minF1 94.34%
[seed 1] Epoch 096 | train 0.0598 | val 0.0550 | val macro-minF1 94.78%
[seed 1] Epoch 097 | train 0.0561 | val 0.0639 | val macro-minF1 94.42%
[seed 1] Epoch 098 | train 0.0603 | val 0.0606 | val macro-minF1 93.77%
[seed 1] Epoch 099 | train 0.0622 | val 0.0612 | val macro-minF1 94.27%
[seed 1] Epoch 100 | train 0.0604 | val 0.0559 | val macro-minF1 94.23%
Training with hyperparameters:{'use_ego_ids': True, 'batch_size': 32, 'use_port_ids': True, 'use_mini_batch': True, 'port_emb_dim': 8, 'num_epochs': 100, 'ego_dim': None, 'num_layers': 6, 'neighbors_per_hop': [15, 15, 10, 10, 5, 5], 'hidden_dim': 64, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'minority_class_weight': 'auto'}
Using automatic per-task minority weighting: [1.841484546661377, 1.8189952373504639, 2.0762298107147217, 2.0589993000030518, 4.132832050323486, 1.92154061794281, 0.9104477763175964, 0.473646342754364, 0.28260529041290283, 2.129106283187866, 2.2125489711761475]
[PORT] fwd edge_attr: (10399, 2) (dtype=torch.int64) | rev edge_attr: (10396, 2)
[TRAIN MODE] mini-batch (seed-only) | is_hetero=True | ego_dim=32
[EGO-CHECK] base_dim=1  ego_dim=32  aug_dim=33  seeds(B)=32
[seed 2] Epoch 001 | train 0.4201 | val 0.2831 | val macro-minF1 83.11%
[seed 2] Epoch 002 | train 0.2267 | val 0.1909 | val macro-minF1 87.36%
[seed 2] Epoch 003 | train 0.1854 | val 0.1612 | val macro-minF1 88.93%
[seed 2] Epoch 004 | train 0.1525 | val 0.1378 | val macro-minF1 90.28%
[seed 2] Epoch 005 | train 0.1349 | val 0.1341 | val macro-minF1 90.67%
[seed 2] Epoch 006 | train 0.1172 | val 0.1084 | val macro-minF1 92.25%
[seed 2] Epoch 007 | train 0.1060 | val 0.0981 | val macro-minF1 92.63%
[seed 2] Epoch 008 | train 0.1010 | val 0.0965 | val macro-minF1 93.53%
[seed 2] Epoch 009 | train 0.0916 | val 0.0828 | val macro-minF1 93.02%
[seed 2] Epoch 010 | train 0.0853 | val 0.0769 | val macro-minF1 94.18%
[seed 2] Epoch 011 | train 0.0816 | val 0.0762 | val macro-minF1 94.37%
[seed 2] Epoch 012 | train 0.0800 | val 0.0701 | val macro-minF1 94.94%
[seed 2] Epoch 013 | train 0.0767 | val 0.0621 | val macro-minF1 94.61%
[seed 2] Epoch 014 | train 0.0749 | val 0.0676 | val macro-minF1 95.12%
[seed 2] Epoch 015 | train 0.0735 | val 0.0750 | val macro-minF1 93.81%
[seed 2] Epoch 016 | train 0.0738 | val 0.0676 | val macro-minF1 94.74%
[seed 2] Epoch 017 | train 0.0698 | val 0.0586 | val macro-minF1 95.45%
[seed 2] Epoch 018 | train 0.0671 | val 0.0564 | val macro-minF1 94.91%
[seed 2] Epoch 019 | train 0.0648 | val 0.0575 | val macro-minF1 95.18%
[seed 2] Epoch 020 | train 0.0662 | val 0.0535 | val macro-minF1 95.65%
[seed 2] Epoch 021 | train 0.0666 | val 0.0606 | val macro-minF1 94.76%
[seed 2] Epoch 022 | train 0.0634 | val 0.0571 | val macro-minF1 95.28%
